               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06308,            0.018678,           0.0081804,             0.94898,             0.27772,             0.30627,             0.16667,            0.034324,           0.0068529,           0.0018832,            0.070144,           0.0033174,           0.0033174
                   1,             0.04168,            0.011817,           0.0021773,             0.98471,             0.31358,             0.32885,             0.23636,            0.029816,           0.0049072,           0.0019937,            0.040078,           0.0065849,           0.0065849
                   2,            0.033672,           0.0092746,           0.0018976,             0.98061,             0.31711,             0.32892,             0.23888,            0.022905,           0.0047245,            0.001426,           0.0099459,           0.0097864,           0.0097864
                   3,            0.028066,             0.00855,           0.0013654,             0.98023,             0.31593,             0.32878,             0.25211,            0.019477,           0.0047672,           0.0012484,            0.009703,            0.009703,            0.009703
                   4,            0.023883,           0.0079863,           0.0010311,             0.98346,             0.32436,             0.34327,             0.27921,            0.016051,           0.0040782,            0.001095,            0.009703,            0.009703,            0.009703
                   5,            0.021826,           0.0075602,          0.00087579,              0.9868,             0.32208,             0.33207,             0.27856,            0.014665,           0.0038069,          0.00092575,            0.009604,            0.009604,            0.009604
                   6,            0.020326,            0.007292,          0.00076136,             0.98677,             0.32769,             0.33614,             0.28637,            0.013775,           0.0035914,          0.00088409,            0.009505,            0.009505,            0.009505
                   7,            0.019447,           0.0070464,          0.00072017,             0.99061,              0.3247,             0.34502,             0.30144,            0.012287,           0.0033945,          0.00085569,            0.009406,            0.009406,            0.009406
                   8,            0.018655,           0.0069335,          0.00072162,             0.99311,             0.32603,              0.3478,             0.30797,            0.011548,           0.0031629,          0.00080457,            0.009307,            0.009307,            0.009307
                   9,            0.018282,           0.0068136,          0.00064677,             0.99225,             0.32271,             0.35934,              0.3178,            0.012146,           0.0032461,          0.00078861,            0.009208,            0.009208,            0.009208
                  10,            0.017639,           0.0066961,          0.00061046,             0.99152,             0.32786,             0.44309,             0.39725,            0.010982,           0.0030288,          0.00075314,            0.009109,            0.009109,            0.009109
                  11,            0.017075,           0.0065409,          0.00053998,             0.98973,             0.32719,             0.44311,             0.40387,            0.011489,           0.0031372,          0.00076804,             0.00901,             0.00901,             0.00901
                  12,            0.016949,           0.0064837,          0.00057998,             0.99352,             0.32337,             0.38744,             0.34419,            0.011101,           0.0031061,          0.00074295,            0.008911,            0.008911,            0.008911
                  13,            0.016534,           0.0063984,          0.00050884,             0.99335,             0.32603,             0.38762,             0.34869,            0.010679,           0.0029643,          0.00071234,            0.008812,            0.008812,            0.008812
