x=563, y=71, w=77, h=408, t=183543227.2506
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
x=548, y=52, w=91, h=427, t=183543627.2506
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
x=548, y=52, w=91, h=427, t=183543627.2506
x=539, y=51, w=100, h=429, t=183543760.5839
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
x=548, y=52, w=91, h=427, t=183543627.2506
x=539, y=51, w=100, h=429, t=183543760.5839
x=467, y=56, w=109, h=424, t=183543993.9173
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
x=548, y=52, w=91, h=427, t=183543627.2506
x=539, y=51, w=100, h=429, t=183543760.5839
x=467, y=56, w=109, h=424, t=183543993.9173
x=404, y=58, w=120, h=422, t=183544127.2506
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
x=548, y=52, w=91, h=427, t=183543627.2506
x=539, y=51, w=100, h=429, t=183543760.5839
x=467, y=56, w=109, h=424, t=183543993.9173
x=404, y=58, w=120, h=422, t=183544127.2506
x=348, y=56, w=130, h=424, t=183544260.5839
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
x=548, y=52, w=91, h=427, t=183543627.2506
x=539, y=51, w=100, h=429, t=183543760.5839
x=467, y=56, w=109, h=424, t=183543993.9173
x=404, y=58, w=120, h=422, t=183544127.2506
x=348, y=56, w=130, h=424, t=183544260.5839
x=294, y=55, w=141, h=425, t=183544393.9173
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
x=548, y=52, w=91, h=427, t=183543627.2506
x=539, y=51, w=100, h=429, t=183543760.5839
x=467, y=56, w=109, h=424, t=183543993.9173
x=404, y=58, w=120, h=422, t=183544127.2506
x=348, y=56, w=130, h=424, t=183544260.5839
x=294, y=55, w=141, h=425, t=183544393.9173
x=216, y=46, w=154, h=433, t=183544627.2506
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
x=548, y=52, w=91, h=427, t=183543627.2506
x=539, y=51, w=100, h=429, t=183543760.5839
x=467, y=56, w=109, h=424, t=183543993.9173
x=404, y=58, w=120, h=422, t=183544127.2506
x=348, y=56, w=130, h=424, t=183544260.5839
x=294, y=55, w=141, h=425, t=183544393.9173
x=216, y=46, w=154, h=433, t=183544627.2506
x=155, y=38, w=166, h=441, t=183544760.5839
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
x=548, y=52, w=91, h=427, t=183543627.2506
x=539, y=51, w=100, h=429, t=183543760.5839
x=467, y=56, w=109, h=424, t=183543993.9173
x=404, y=58, w=120, h=422, t=183544127.2506
x=348, y=56, w=130, h=424, t=183544260.5839
x=294, y=55, w=141, h=425, t=183544393.9173
x=216, y=46, w=154, h=433, t=183544627.2506
x=155, y=38, w=166, h=441, t=183544760.5839
x=102, y=33, w=177, h=446, t=183544893.9173
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
x=548, y=52, w=91, h=427, t=183543627.2506
x=539, y=51, w=100, h=429, t=183543760.5839
x=467, y=56, w=109, h=424, t=183543993.9173
x=404, y=58, w=120, h=422, t=183544127.2506
x=348, y=56, w=130, h=424, t=183544260.5839
x=294, y=55, w=141, h=425, t=183544393.9173
x=216, y=46, w=154, h=433, t=183544627.2506
x=155, y=38, w=166, h=441, t=183544760.5839
x=102, y=33, w=177, h=446, t=183544893.9173
x=55, y=34, w=181, h=445, t=183545027.2506
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
x=548, y=52, w=91, h=427, t=183543627.2506
x=539, y=51, w=100, h=429, t=183543760.5839
x=467, y=56, w=109, h=424, t=183543993.9173
x=404, y=58, w=120, h=422, t=183544127.2506
x=348, y=56, w=130, h=424, t=183544260.5839
x=294, y=55, w=141, h=425, t=183544393.9173
x=216, y=46, w=154, h=433, t=183544627.2506
x=155, y=38, w=166, h=441, t=183544760.5839
x=102, y=33, w=177, h=446, t=183544893.9173
x=55, y=34, w=181, h=445, t=183545027.2506
x=-16, y=35, w=177, h=444, t=183545260.5839
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
x=548, y=52, w=91, h=427, t=183543627.2506
x=539, y=51, w=100, h=429, t=183543760.5839
x=467, y=56, w=109, h=424, t=183543993.9173
x=404, y=58, w=120, h=422, t=183544127.2506
x=348, y=56, w=130, h=424, t=183544260.5839
x=294, y=55, w=141, h=425, t=183544393.9173
x=216, y=46, w=154, h=433, t=183544627.2506
x=155, y=38, w=166, h=441, t=183544760.5839
x=102, y=33, w=177, h=446, t=183544893.9173
x=55, y=34, w=181, h=445, t=183545027.2506
x=-16, y=35, w=177, h=444, t=183545260.5839
x=-60, y=46, w=165, h=434, t=183545393.9173
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
x=548, y=52, w=91, h=427, t=183543627.2506
x=539, y=51, w=100, h=429, t=183543760.5839
x=467, y=56, w=109, h=424, t=183543993.9173
x=404, y=58, w=120, h=422, t=183544127.2506
x=348, y=56, w=130, h=424, t=183544260.5839
x=294, y=55, w=141, h=425, t=183544393.9173
x=216, y=46, w=154, h=433, t=183544627.2506
x=155, y=38, w=166, h=441, t=183544760.5839
x=102, y=33, w=177, h=446, t=183544893.9173
x=55, y=34, w=181, h=445, t=183545027.2506
x=-16, y=35, w=177, h=444, t=183545260.5839
x=-60, y=46, w=165, h=434, t=183545393.9173
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
x=548, y=52, w=91, h=427, t=183543627.2506
x=539, y=51, w=100, h=429, t=183543760.5839
x=467, y=56, w=109, h=424, t=183543993.9173
x=404, y=58, w=120, h=422, t=183544127.2506
x=348, y=56, w=130, h=424, t=183544260.5839
x=294, y=55, w=141, h=425, t=183544393.9173
x=216, y=46, w=154, h=433, t=183544627.2506
x=155, y=38, w=166, h=441, t=183544760.5839
x=102, y=33, w=177, h=446, t=183544893.9173
x=55, y=34, w=181, h=445, t=183545027.2506
x=-16, y=35, w=177, h=444, t=183545260.5839
x=-60, y=46, w=165, h=434, t=183545393.9173
x=563, y=71, w=77, h=408, t=183543227.2506
x=559, y=63, w=80, h=415, t=183543360.5839
x=554, y=54, w=85, h=425, t=183543493.9173
