,0,1
0,데이터,56
1,분류,23
2,분류기,21
3,거리,15
4,값,15
5,클래스,13
6,것,13
7,|,12
8,K-최근접이웃,12
9,최근접이웃,11
10,수,11
11,###,10
12,문제,10
13,방법,10
14,학습,10
15,때,9
16,계산,8
17,성능,8
18,특성,8
19,함수,7
20,경우,7
21,할당,5
22,잡음,5
23,|---|---|,5
24,모델,5
25,개,5
26,예시,5
27,##,4
28,개념,4
29,식별,4
30,이웃,4
31,문제점,4
32,발생,4
33,때문,4
34,중,4
35,특징,4
36,베이즈,4
37,비선형적,4
38,선택,4
39,정답,4
40,거리|,4
41,근처,3
42,"즉,",3
43,아래,3
44,|---|---|---|,3
45,민감,3
46,과다적합,3
47,말,3
48,학습데이터,3
49,이,3
50,집합,3
51,클래스들,3
52,탐색,3
53,결정경계,3
54,분포,3
55,좌우,3
56,전체,3
57,확률,3
58,두,3
59,가지,3
60,전체적,3
61,적절한,3
62,적응,3
63,유클리디안,3
64,생각,2
65,한,2
66,수식화,2
67,처리과정,2
68,|순서|단계|설명|,2
69,|1|거리,2
70,계산|새로운,2
71,"{x1,",2
72,"x2,",2
73,식별|거리,2
74,|3|클래스,2
75,1,2
76,2,2
77,점,2
78,이상치,2
79,하나,2
80,만,2
81,과적합,2
82,순서,2
83,후보,2
84,각,2
85,등장빈도,2
86,감,2
87,데이터들,2
88,가우시안,2
89,형태,2
90,경계,2
91,시간,2
92,메모리,2
93,반영,2
94,노이즈,2
95,위,2
96,기반,2
97,도출,2
98,거리계산,2
99,계산량,2
100,확률밀도함수,2
101,평균,2
102,의존,2
103,이용,2
104,다양,2
105,정확도,2
106,중요,2
107,대표적,2
108,경향성,2
109,변화,2
110,사용,2
111,노름|,2
112,|.,2
113,새,1
114,근접,1
115,xnew으,1
116,동,1
117,이것,1
118,x1간,1
119,x1)`,1
120,결정규칙,1
121,식,1
122,표현,1
123,|2|최근접,1
124,할당|새로운,1
125,결정,1
126,그것,1
127,|문제점|설명|,1
128,|데이터,1
129,민감|-,1
130,일반적,1
131,의미,1
132,오분류,1
133,가능성,1
134,|과다적합|-,1
135,적합,1
136,현실,1
137,세계,1
138,테스트,1
139,분류율,1
140,일정,1
141,부분,1
142,비슷,1
143,면,1
144,|구분|KNN,1
145,(K=1)|베이즈,1
146,분류기|,1
147,|학습,1
148,정확도|1.,1
149,00|0.,1
150,95|,1
151,|테스트,1
152,정확도|0.,1
153,87|0.,1
154,96|,1
155,선별,1
156,데이터집합,1
157,뒤,1
158,포함,1
159,오분류율,1
160,보완,1
161,하나`,1
162,순,1
163,데이터`,1
164,를,1
165,차이,1
166,확인,1
167,|2|근접,1
168,빈,1
169,탐색|후보,1
170,확인하고<br>식별된,1
171,각각,1
172,등장빈도수,1
173,|4|클래스,1
174,할당|3번,1
175,단계,1
176,빈도수,1
177,|특징|설명|,1
178,|결정,1
179,경계|-,1
180,"않음<br>즉,",1
181,데이터분포,1
182,분류성능,1
183,있음|,1
184,|분류,1
185,오래걸림|-,1
186,때마다(분류,1
187,요청,1
188,필요<br>-,1
189,리,1
190,저장,1
191,소모|,1
192,기반한,1
193,자체,1
194,특성값,1
195,단점,1
196,예,1
197,그래프,1
198,한계,1
199,분류모델,1
200,원리,1
201,여기,1
202,태생적,1
203,한계점,1
204,대상,1
205,수행,1
206,소모,1
207,라,1
208,반면,1
209,진행,1
210,표준편차,1
211,학습시,1
212,파라미터(확률밀도함수),1
213,추정,1
214,이후,1
215,분류시,1
216,필요,1
217,파라미터,1
218,표준편차만,1
219,가능,1
220,메모리상,1
221,장점,1
222,선정,1
223,해결,1
224,개발,1
225,환경,1
226,파악,1
227,목적,1
228,안목,1
229,설계시,1
230,고려사항,1
231,|고려사항|설명|,1
232,|적절한,1
233,값|-,1
234,값(몇,1
235,근접이웃,1
236,과적합<br>-,1
237,비율(선험,1
238,의존<br>-,1
239,주변,1
240,해야함|,1
241,|거리,1
242,함수|-,1
243,데이터간,1
244,사용하느냐,1
245,직접적,1
246,영향|,1
247,분포(=선험,1
248,구축,1
249,>,1
250,데,1
251,특정,1
252,적정,1
253,|K값,1
254,방법|설명|,1
255,|전체,1
256,반영|-,1
257,지정,1
258,방,1
259,제곱근`<br>-,1
260,뿐,1
261,|실험적,1
262,검증|-,1
263,실험적,1
264,측정,1
265,방법<br>-,1
266,5,1
267,10,1
268,20,1
269,30,1
270,으,1
271,파악<br>-,1
272,현실적,1
273,방식,1
274,번,1
275,이웃과,1
276,수식,1
277,방법론,1
278,지칭,1
279,마할라노비스,1
280,코사,1
281,등,1
282,다양한,1
283,맨해튼,1
284,거리함수,1
285,종류,1
286,표,1
287,|번호|거리,1
288,함수|,1
289,|1|유클리디안,1
290,|2|1차,1
291,|3|p차,1
292,|4|내적|,1
293,|5|코사,1
294,|6|정규화,1
295,|7|마할라노비스,1
