,0,1
0,데이터,57
1,분류,25
2,거리,24
3,분류기,21
4,값,17
5,클래스,16
6,것,14
7,K-최근접이웃,12
8,최근접이웃,11
9,방법,11
10,수,11
11,학습,11
12,문제,10
13,계산,10
14,때,9
15,함수,9
16,성능,8
17,특성,8
18,할당,7
19,경우,7
20,식별,6
21,설명,6
22,1,6
23,2,5
24,문제점,5
25,잡음,5
26,모델,5
27,베이즈,5
28,개,5
29,특징,5
30,예시,5
31,개념,4
32,순서,4
33,이웃,4
34,과다적합,4
35,발생,4
36,때문,4
37,정확도,4
38,중,4
39,탐색,4
40,비선형적,4
41,전체,4
42,선택,4
43,적절한,4
44,정답,4
45,유클리디안,4
46,근처,3
47,"즉,",3
48,아래,3
49,단계,3
50,3,3
51,민감,3
52,감,3
53,말,3
54,학습데이터,3
55,이,3
56,후보,3
57,집합,3
58,클래스들,3
59,경계,3
60,결정경계,3
61,분포,3
62,좌우,3
63,확률,3
64,반영,3
65,두,3
66,가지,3
67,전체적,3
68,적응,3
69,생각,2
70,한,2
71,근접,2
72,수식화,2
73,처리과정,2
74,"{x1,",2
75,"x2,",2
76,결정,2
77,점,2
78,이상치,2
79,하나,2
80,만,2
81,과적합,2
82,테스트,2
83,각,2
84,등장빈도,2
85,데이터들,2
86,4,2
87,가우시안,2
88,형태,2
89,시간,2
90,메모리,2
91,소모,2
92,노이즈,2
93,위,2
94,기반,2
95,도출,2
96,거리계산,2
97,계산량,2
98,확률밀도함수,2
99,평균,2
100,의존,2
101,이용,2
102,고려사항,2
103,다양,2
104,중요,2
105,대표적,2
106,경향성,2
107,실험적,2
108,변화,2
109,5,2
110,사용,2
111,마할라노비스,2
112,코사,2
113,새,1
114,xnew으,1
115,동,1
116,이것,1
117,x1간,1
118,x1)`,1
119,결정규칙,1
120,식,1
121,표현,1
122,최근접,1
123,그것,1
124,일반적,1
125,의미,1
126,오분류,1
127,가능성,1
128,적합,1
129,현실,1
130,세계,1
131,분류율,1
132,일정,1
133,부분,1
134,비슷,1
135,면,1
136,구분,1
137,1.00,1
138,0.95,1
139,0.87,1
140,0.96,1
141,선별,1
142,데이터집합,1
143,뒤,1
144,포함,1
145,오분류율,1
146,보완,1
147,하나`,1
148,순,1
149,데이터`,1
150,를,1
151,차이,1
152,확인,1
153,빈,1
154,확인하고<br>식별된,1
155,각각,1
156,등장빈도수,1
157,3번,1
158,빈도수,1
159,"않음<br>즉,",1
160,데이터분포,1
161,분류성능,1
162,오래걸림,1
163,때마다(분류,1
164,요청,1
165,필요<br>-,1
166,리,1
167,저장,1
168,기반한,1
169,자체,1
170,특성값,1
171,단점,1
172,예,1
173,그래프,1
174,한계,1
175,분류모델,1
176,원리,1
177,여기,1
178,태생적,1
179,한계점,1
180,대상,1
181,수행,1
182,라,1
183,반면,1
184,진행,1
185,표준편차,1
186,학습시,1
187,파라미터(확률밀도함수),1
188,추정,1
189,이후,1
190,분류시,1
191,필요,1
192,파라미터,1
193,표준편차만,1
194,가능,1
195,메모리상,1
196,장점,1
197,선정,1
198,해결,1
199,개발,1
200,환경,1
201,파악,1
202,목적,1
203,안목,1
204,설계시,1
205,값(몇,1
206,근접이웃,1
207,과적합<br>-,1
208,비율(선험,1
209,의존<br>-,1
210,주변,1
211,데이터간,1
212,사용하느냐,1
213,직접적,1
214,영향,1
215,분포(=선험,1
216,구축,1
217,>,1
218,데,1
219,특정,1
220,적정,1
221,지정,1
222,방,1
223,제곱근`<br>-,1
224,뿐,1
225,검증,1
226,측정,1
227,방법<br>-,1
228,10,1
229,20,1
230,30,1
231,으,1
232,파악<br>-,1
233,현실적,1
234,방식,1
235,번,1
236,이웃과,1
237,수식,1
238,방법론,1
239,지칭,1
240,등,1
241,다양한,1
242,맨해튼,1
243,거리함수,1
244,종류,1
245,표,1
246,번호,1
247,1차,1
248,차,1
249,6,1
250,정규화,1
251,7,1
