,0,1
0,거리,2
1,수,2
2,하나,2
3,베,2
4,베이즈,2
5,이,2
6,고려,2
7,근접,1
8,근접이웃,1
9,이웃,1
10,분류기,1
11,개념,1
12,20241117,1
13,001,1
14,분류,1
15,문제,1
16,생각,1
17,때,1
18,방법,1
19,데이터,1
20,식별,1
21,클래스,1
22,으,1
23,할당,1
24,근처,1
25,동일,1
26,이것,1
27,수식,1
28,1,1
29,1간,1
30,간,1
31,함수,1
32,결정,1
33,결정규칙,1
34,규칙,1
35,식,1
36,표현,1
37,아래,1
38,002,1
39,분류기의,1
40,기의,1
41,처리,1
42,처리과정,1
43,과정,1
44,순서,1
45,단계,1
46,설명,1
47,계산,1
48,새,1
49,모든,1
50,학습,1
51,2,1
52,과의,1
53,최,1
54,최근접,1
55,3,1
56,문제점,1
57,그것,1
58,잡음,1
59,과다,1
60,과다적합,1
61,적합,1
62,발생,1
63,점,1
64,이상,1
65,일반적,1
66,의미,1
67,만,1
68,참고,1
69,때문,1
70,경우,1
71,오,1
72,오분류,1
73,가능성,1
74,과적,1
75,과적합,1
76,합,1
77,모델,1
78,현실,1
79,세계,1
80,테스트,1
81,앞,1
82,일정,1
83,부분,1
84,면,1
85,003,1
86,구분,1
87,이즈,1
88,정확도,1
89,1.00,1
90,0.95,1
91,0.87,1
92,0.96,1
93,학습데이터,1
94,개의,1
95,선별,1
96,후보,1
97,데이터집합,1
98,집합,1
99,뒤,1
100,포함,1
101,중,1
102,등장,1
103,등장빈도,1
104,빈도,1
105,분류기가,1
106,기가,1
107,보완,1
108,순,1
109,차이,1
110,004,1
111,확인,1
112,005,1
113,탐색,1
114,속한,1
115,각각,1
116,등장빈도수,1
117,빈도수,1
118,4,1
119,3번,1
120,번,1
121,가장,1
122,빈도수가,1
123,수가,1
124,특징,1
125,경계,1
126,가우,1
127,가우시안,1
128,시안,1
129,비선,1
130,비선형적,1
131,형적,1
132,결정경계,1
133,짐,1
134,분포,1
135,형태,1
136,성능,1
137,좌우,1
138,데이터분포,1
139,분류성능,1
140,있음,1
141,시간,1
142,요청,1
143,전체,1
144,필요,1
145,저장,1
146,메모리,1
147,소모,1
148,확률,1
149,기반,1
150,자체,1
151,특성,1
152,특성값,1
153,값,1
154,반영,1
155,노이즈,1
156,단점,1
157,예,1
158,위,1
159,그래프,1
160,006,1
161,한계,1
162,분류모델,1
163,원리,1
164,여기,1
165,태생,1
166,한계점,1
167,도출,1
168,대상,1
169,거리계산,1
170,수행,1
171,계산량,1
172,량,1
173,가지,1
174,반면,1
175,확률밀도함수,1
176,밀도,1
177,평균,1
178,표준,1
179,표준편차,1
180,편차,1
181,의존,1
182,학습시,1
183,시,1
184,이용,1
185,파라미터,1
186,추정,1
187,이후,1
188,분류시,1
189,가능,1
190,메모리상,1
191,상,1
192,장점,1
193,선정,1
194,해결,1
195,개발,1
196,환경,1
197,파악,1
198,목적,1
199,선택,1
200,안목,1
201,설계,1
202,고려사항,1
203,사항,1
204,개,1
205,전체적,1
206,비율,1
207,선험,1
208,주변,1
209,함,1
210,데이터간,1
211,다양,1
212,용하,1
213,용하느냐에,1
214,느냐에,1
215,직접적,1
216,영향,1
217,적응,1
218,구축,1
219,중요,1
220,009,1
221,예시,1
222,데,1
223,특정,1
224,정답,1
225,적정,1
226,대표적,1
227,수의,1
228,경향성,1
229,지정,1
230,방식,1
231,일,1
232,제곱근,1
233,뿐,1
234,실험적,1
235,검증,1
236,변화,1
237,측정,1
238,5,1
239,10,1
240,20,1
241,30,1
242,현실적,1
243,007,1
244,008,1
245,번째,1
246,사용,1
247,방법론,1
248,지칭,1
249,말로,1
250,유,1
251,리,1
252,리디안,1
253,디,1
254,안,1
255,마,1
256,노비,1
257,코,1
258,코사인,1
259,사인,1
260,노름,1
261,등,1
262,맨해튼,1
263,거리함수,1
264,종류,1
265,표,1
266,번호,1
267,1차,1
268,차,1
269,내적,1
270,6,1
271,정규화,1
272,7,1
