,0,1
0,데이터,66
1,분류,33
2,거리,31
3,이웃,29
4,근접,27
5,분,20
6,류기,20
7,클래스,19
8,값,19
9,학습,15
10,계산,14
11,함수,13
12,최,13
13,방법,12
14,수,11
15,문제,10
16,때,10
17,성능,9
18,특성,9
19,것,8
20,식별,7
21,할당,7
22,경우,7
23,전체,7
24,결정,6
25,설명,6
26,모델,6
27,경계,6
28,확률,6
29,문제점,5
30,잡음,5
31,참고,5
32,베,5
33,이즈,5
34,개,5
35,특징,5
36,분포,5
37,예시,5
38,개념,4
39,순서,4
40,과다,4
41,발생,4
42,때문,4
43,정확도,4
44,집합,4
45,중,4
46,탐색,4
47,비선형,4
48,선택,4
49,정답,4
50,유,4
51,리디아,4
52,근처,3
53,수식,3
54,간,3
55,아래,3
56,단계,3
57,점,3
58,말,3
59,후보,3
60,등,3
61,좌우,3
62,메모리,3
63,기반,3
64,반영,3
65,가지,3
66,밀도,3
67,의존,3
68,고려,3
69,사용,3
70,적응,3
71,노름,3
72,생각,2
73,처리,2
74,과정,2
75,합,2
76,이상,2
77,하나,2
78,현실,2
79,테스트,2
80,장빈,2
81,도가,2
82,기가,2
83,차이,2
84,확인,2
85,속,2
86,빈도수,2
87,번,2
88,가우,2
89,시안,2
90,형태,2
91,시간,2
92,마다,2
93,필요,2
94,소모,2
95,노이즈,2
96,위,2
97,한계,2
98,도출,2
99,량,2
100,평균,2
101,표준편차,2
102,이용,2
103,파라,2
104,미터,2
105,파악,2
106,사항,2
107,선험,2
108,대표,2
109,경향,2
110,방식,2
111,실험,2
112,변화,2
113,코,2
114,사인,2
115,차,2
116,으,1
117,규칙,1
118,식,1
119,표현,1
120,민,1
121,감,1
122,이란,1
123,일반,1
124,의미,1
125,세계,1
126,일정,1
127,부분,1
128,면,1
129,구분,1
130,선별,1
131,뒤,1
132,포함,1
133,보완,1
134,만,1
135,순,1
136,빈도,1
137,각각,1
138,등장,1
139,요청,1
140,저장,1
141,이다,1
142,보니,1
143,자체,1
144,단점,1
145,예,1
146,그래프,1
147,원리,1
148,태생,1
149,대상,1
150,수행,1
151,반면,1
152,진행,1
153,추정,1
154,이후,1
155,장점,1
156,선정,1
157,해결,1
158,개발,1
159,환경,1
160,목적,1
161,안목,1
162,설,1
163,계시,1
164,비율,1
165,주변,1
166,직접,1
167,영향,1
168,구축,1
169,데,1
170,특정,1
171,적정,1
172,지정,1
173,일,1
174,제곱근,1
175,뿐,1
176,검증,1
177,측정,1
178,방법론,1
179,지칭,1
180,맨해튼 거리,1
181,종류,1
182,표,1
183,번호,1
184,정규화,1
