,0,1
0,데이터,33
1,>,17
2,<,16
3,br,16
4,분류기의,11
5,K-최근접이웃,11
6,가장,10
7,있다,10
8,거리,10
9,수,8
10,학습,8
11,데이터를,7
12,클래스를,7
13,분류,7
14,가까운,6
15,거리를,6
16,최근접이웃,5
17,새로운,5
18,분류기는,5
19,설명,5
20,너무,5
21,KNN,5
22,K의,5
23,대해,4
24,거리가,4
25,데이터의,4
26,클래스로,4
27,때,4
28,함수,4
29,즉,4
30,계산,4
31,가지고,4
32,잡음에,4
33,중,4
34,높은,4
35,따라,4
36,때마다,4
37,적절한,4
38,K,4
39,K값을,4
40,방법,4
41,xnew에,3
42,식별된,3
43,데이터와,3
44,있을,3
45,x와,3
46,x1,3
47,모든,3
48,민감하다는,3
49,때문에,3
50,데이터가,3
51,것은,3
52,혹은,3
53,K개의,3
54,후보,3
55,N,3
56,x,3
57,이,3
58,각,3
59,탐색,3
60,성능이,3
61,크게,3
62,좋은,3
63,특징이,3
64,베이즈,3
65,분포,3
66,분류를,3
67,할,3
68,경우엔,3
69,특성과,3
70,값,3
71,값이,3
72,전체적인,3
73,선택되는,3
74,예시,3
75,유클리디안,3
76,개념,2
77,같이,2
78,있는,2
79,방법을,2
80,볼,2
81,것이다,2
82,수식화,2
83,x의,2
84,x2,2
85,xn,2
86,과의,2
87,계산한다,2
88,이웃,2
89,식별,2
90,문제점,2
91,문제점을,2
92,민감,2
93,발생할,2
94,과다적합,2
95,데이터에만,2
96,테스트,2
97,문제를,2
98,분류기,2
99,등장빈도가,2
100,할당하는,2
101,따른,2
102,분류기이다,2
103,xnew,2
104,개의,2
105,확인하고,2
106,클래스들,2
107,집합,2
108,특징,2
109,가우시안,2
110,매우,2
111,비선형적인,2
112,결정경계를,2
113,형태에,2
114,좌우되지,2
115,주어질,2
116,항상,2
117,있어야,2
118,메모리,2
119,더,2
120,노이즈에,2
121,가지는,2
122,있으며,2
123,기반으로,2
124,한다는,2
125,하므로,2
126,의존하므로,2
127,파라미터,2
128,하는,2
129,문제의,2
130,방법이,2
131,특성을,2
132,맞는,2
133,고려사항,2
134,작을,2
135,경우,2
136,과적합,2
137,클,2
138,확률,2
139,어떤,2
140,K값에,2
141,근처의,2
142,문제가,2
143,성능을,2
144,값을,2
145,여러,2
146,대표적인,2
147,두,2
148,전체,2
149,없다,2
150,정답은,2
151,마할라노비스,2
152,다양한,2
153,함수가,2
154,식별하고,1
155,근접,1
156,xnew으,1
