,0,1
0,데이터,66
1,분류기,32
2,거리,31
3,이웃,29
4,근접,27
5,최,24
6,분류,21
7,클래스,19
8,값,19
9,학습,15
10,방법,12
11,가장,12
12,의,12
13,함수,12
14,계산,12
15,문제,10
16,때,10
17,것,9
18,성능,9
19,특성,9
20,수,8
21,식별,7
22,할당,7
23,가지,7
24,과,7
25,적합,7
26,경우,7
27,전체,7
28,설명,6
29,모델,6
30,이,6
31,확률,6
32,문제점,5
33,잡음,5
34,참고,5
35,베,5
36,이즈,5
37,개,5
38,를,5
39,특징,5
40,분포,5
41,예시,5
42,개념,4
43,대해,4
44,결정,4
45,즉,4
46,발생,4
47,때문,4
48,정확도,4
49,집합,4
50,중,4
51,빈도,4
52,탐색,4
53,비선형,4
54,선택,4
55,정답,4
56,유,4
57,클리,4
58,디안,4
59,근처,3
60,아래,3
61,순서,3
62,단계,3
63,모든,3
64,점,3
65,하나,3
66,후보,3
67,각,3
68,등장,3
69,경계,3
70,결정경,3
71,크게,3
72,좌우,3
73,메모리,3
74,기반,3
75,반영,3
76,위,3
77,두,3
78,밀도,3
79,의존,3
80,고려,3
81,사용,3
82,노름,3
83,생각,2
84,볼,2
85,바로,2
86,식화,2
87,간,2
88,처리,2
89,과정,2
90,민감,2
91,현실,2
92,테스트,2
93,율,2
94,말,2
95,차이,2
96,확인,2
97,속,2
98,각각,2
99,번,2
100,수가,2
101,가우,2
102,시안,2
103,매우,2
104,형태,2
105,시간,2
106,항상,2
107,소모,2
108,더,2
109,노이즈,2
110,한계,2
111,도출,2
112,계산량,2
113,평균,2
114,표준편차,2
115,시,2
116,이용,2
117,파라미터,2
118,파악,2
119,사항,2
120,작,2
121,선,2
122,따라서,2
123,여러,2
124,대표,2
125,경향,2
126,방식,2
127,실험,2
128,변화,2
129,마,2
130,노비,2
131,스,2
132,코사인,2
133,차,2
134,규칙,1
135,식,1
136,표현,1
137,그것,1
138,상치,1
139,일반,1
140,의미,1
141,이상,1
142,치인,1
143,가능성,1
144,세계,1
145,앞서,1
146,일정,1
147,부분,1
148,면,1
149,구분,1
150,순서대로,1
151,선별,1
152,뒤,1
153,포함,1
154,보완,1
155,순,1
156,빈,1
157,도수,1
158,가짐,1
159,요청,1
160,필요,1
161,저장,1
162,자체,1
163,단점,1
164,예,1
165,그래프,1
166,라면,1
167,원리,1
168,여기,1
169,태생,1
170,새로이,1
171,대상,1
172,수행,1
173,위해,1
174,반면,1
175,진행,1
176,일단,1
177,추정,1
178,이후,1
179,장점,1
180,선정,1
181,해결,1
182,개발,1
183,환경,1
184,목적,1
185,안목,1
186,설,1
187,계시,1
188,몇,1
189,비율,1
190,주변,1
191,모두,1
192,함,1
193,달라짐,1
194,직접,1
195,영향,1
196,적응,1
197,수도,1
198,구축,1
199,데,1
200,적정,1
201,찾기,1
202,수의,1
203,지정,1
204,일,1
205,제곱근,1
206,뿐,1
207,검증,1
208,측정,1
209,다만,1
210,또한,1
211,란,1
212,수식,1
213,방법론,1
214,지칭,1
215,말로,1
216,등,1
217,맨해튼,1
218,거리함수,1
219,종류,1
220,표,1
221,번호,1
222,내적,1
223,정규화,1
