,0,1
0,데이터,27
1,최근접이웃,23
2,#,20
3,K,17
4,분류기의,15
5,가장,12
6,거리,12
7,있다,10
8,/assets,9
9,br>-,9
10,가까운,8
11,학습,8
12,분류,7
13,데이터를,7
14,클래스를,7
15,거리를,6
16,분류기는,6
17,때,5
18,설명,5
19,계산,5
20,새로운,5
21,KNN,5
22,수,5
23,K의,5
24,거리가,4
25,클래스로,4
26,즉,4
27,클래스,4
28,잡음에,4
29,때문에,4
30,데이터가,4
31,베이즈,4
32,중,4
33,높은,4
34,따라,4
35,적절한,4
36,K값을,4
37,개념,3
38,문제를,3
39,주어진,3
40,xnew에,3
41,있을,3
42,가지고,3
43,민감하다는,3
44,과다적합,3
45,정확도,3
46,K개의,3
47,후보,3
48,분포,3
49,성능이,3
50,크게,3
51,좋은,3
52,때마다,3
53,특징이,3
54,두,3
55,값이,3
56,전체적인,3
57,선택되는,3
58,예시,3
59,할당한다,2
60,같이,2
61,방법을,2
62,볼,2
63,것이다,2
64,바로,2
65,수식화,2
66,x의,2
67,처리과정,2
68,단계,2
69,x1,2
70,x2,2
71,xn}과의,2
72,계산한다,2
73,이웃,2
74,식별,2
75,문제점,2
76,문제점을,2
77,민감,2
78,데이터에만,2
79,테스트,2
80,N(x)를,2
81,등장빈도가,2
82,할당하는,2
83,분류기이다,2
84,데이터와,2
85,확인하고,2
86,속한,2
87,각,2
88,식별된,2
89,특징,2
90,비선형적인,2
91,결정경계를,2
92,형태에,2
93,주어질,2
94,있어야,2
95,더,2
96,노이즈에,2
97,가지는,2
98,기반으로,2
99,분류를,2
100,한다는,2
101,하므로,2
102,가지,2
103,경우엔,2
104,평균과,2
105,의존하므로,2
106,혹은,2
107,하는,2
108,방법이,2
109,특성을,2
110,맞는,2
111,고려사항,2
112,값,2
113,경우,2
114,과적합,2
115,클,2
116,확률)에,2
117,특성과,2
118,어떤,2
119,이웃이,2
120,K값에,2
121,너무,2
122,근처의,2
123,문제가,2
124,따라서,2
125,성능을,2
126,여러,2
127,방법,2
128,전체,2
129,없다,2
130,유클리디안,2
131,마할라노비스,2
132,코사인,2
133,노름,2
134,images/20241117_001_001.png,1
135,생각해봤을,1
136,간단한,1
137,방법으로는,1
138,xnew으,1
139,와,1
140,근처에,1
141,동일한,1
142,분류하는,1
143,이것이,1
144,개념이다,1
145,x와,1
146,x1간,1
147,d(x,1
148,x1)`이라고,1
149,했을,1
150,결정짓는,1
151,결정규칙을,1
152,식으로,1
153,표현하면,1
154,아래와,1
155,같다,1
156,images/20241117_001_002.png,1
157,최근접,1
158,xmin을,1
159,식별한다,1
160,x에,1
161,xmin의,1
162,클래스와,1
163,할당하도록,1
164,결정한다,1
165,그것은,1
166,것과,1
167,발생한다는,1
168,점이다,1
169,잡음이란,1
170,일반적이지,1
171,의미한다.<br>-,1
172,하나의,1
173,"데이터""만을",1
174,참고하기,1
175,참고하는,1
176,이상치인,1
177,경우에는,1
178,오분류가,1
179,가능성이,1
180,높다,1
181,또는,1
182,과적합이라고,1
183,부르는,1
184,모델이,1
185,적합하여,1
186,데이터에서,1
187,떨어지는,1
188,말한다.<br>-,1
189,앞서,1
190,살펴본,1
191,문제와,1
192,일정,1
193,비슷한,1
194,면이,1
195,images/20241117_001_003.png,1
196,구분,1
197,K=1,1
198,0.87,1
199,Nearest,1
200,새로,1
201,이와,1
202,순서대로,1
203,선별하여,1
204,데이터집합,1
205,만든,1
206,뒤,1
207,집합에,1
208,포함된,1
209,xnew의,1
210,방법이다,1
211,문제에,1
212,따른,1
213,오분류율이,1
214,보완하고자,1
215,나온,1
216,하나,1
217,만을,1
218,참고했다면,1
219,순으로,1
220,k,1
221,개의,1
222,를,1
223,참고한다는,1
224,점에서,1
225,차이가,1
226,images/20241117_001_004.png,1
227,xnew와,1
228,images/20241117_001_005.png,1
229,순서로,1
230,찾아,1
231,만든다,1
232,N(x)에,1
233,데이터들이,1
234,클래스들을,1
235,br,1
236,각각의,1
237,등장빈도수를,1
238,탐색한다,1
239,단계에서,1
240,빈도수가,1
241,결정,1
242,경계,1
243,분류기에,1
244,좌우되지,1
245,않음,1
246,비선형적,1
247,데이터분포에서,1
248,분류성능을,1
249,보일,1
250,있음,1
251,오래걸림,1
252,때마다(분류,1
253,요청이,1
254,전체와,1
255,시간이,1
256,오래,1
257,"걸리며,<br>-",1
258,저장하고,1
259,하기,1
260,아닌,1
261,"데이터""에",1
262,기반한,1
263,보니,1
264,자체의,1
265,특성값을,1
266,잘,1
267,반영할,1
268,이를,1
269,바꾸어,1
270,말하면,1
271,단점으로도,1
272,분류기보다,1
273,있으며,1
274,들어,1
275,그래프처럼,1
276,데이터들의,1
277,경계가,1
278,비선형적이라면,1
279,분류기보다는,1
280,KNN의,1
281,좋을,1
282,images/20241117_001_006.png,1
283,한계,1
284,분류모델은,1
285,간,1
286,원리를,1
287,여기서,1
288,태생적,1
289,한계점이,1
290,도출되는데,1
291,새로이,1
292,대상,1
293,학습데이터와의,1
294,거리계산을,1
295,수행해야,1
296,문제점이다,1
297,이는,1
298,계산해야,1
299,계산량이,1
300,위해,1
301,소모가,1
302,크다,1
303,.,1
304,라는,1
305,반면,1
306,확률밀도함수를,1
307,진행한다,1
308,표준편차에만,1
309,일단,1
310,파라미터(확률밀도함수)를,1
311,추정하고,1
312,나면,1
313,분류시에,1
314,학습데이터가,1
315,필요하지,1
316,않고,1
317,학습된,1
318,파라미터,1
319,이용해,1
320,가능하다는,1
321,계산량과,1
322,메모리상에,1
323,KNN보다,1
324,장점을,1
325,모델을,1
326,때에는,1
327,해결해야,1
328,문제의,1
329,개발,1
330,파악해서,1
331,분류기를,1
332,선택해야,1
333,안목을,1
334,길러야,1
335,한다,1
336,설계시,1
337,값(몇,1
338,근접이웃)이,1
339,작을,1
340,비율(선험,1
341,의존,1
342,K값으로,1
343,주변의,1
344,모두,1
345,반영하도록,1
346,해야함,1
347,함수,1
348,데이터간,1
349,다양함,1
350,거리계산,1
351,달라짐,1
352,달라지면,1
353,성능에,1
354,직접적인,1
355,영향,1
356,모델의,1
357,성능은,1
358,좌우된다,1
359,적응하는,1
360,발생하고,1
361,분포(=선험,1
362,적응하여,1
363,특성이,1
364,적응되지,1
365,않는,1
366,수도,1
367,데이터에,1
368,도출해내는,1
369,것은,1
370,모델,1
371,구축에,1
372,있어,1
373,굉장히,1
374,중요한,1
375,문제이다,1
376,images/20241117_001_009.png,1
377,k의,1
378,값에,1
379,차이</i,1
380,값을,1
381,찾는,1
382,데에는,1
383,것이지만,1
384,정답이,1
385,특성에,1
386,찾아가는,1
387,아래는,1
388,적정,1
389,찾기,1
390,위한,1
391,대표적인,1
392,가지이다,1
393,K값,1
394,반영,1
395,경향성에,1
396,맞춰,1
397,지정하는,1
398,방식,1
399,수가,1
400,N일,1
401,=,1
402,N의,1
403,제곱근`<br>-,1
404,하나이며,1
405,값은,1
406,뿐만이,1
407,아니라,1
408,특성에도,1
409,정답이라고,1
410,실험적,1
411,검증,1
412,변화를,1
413,줘가면서,1
414,실험적으로,1
415,K에서,1
416,보이는지,1
417,측정하는,1
418,K를,1
419,으로,1
420,성능,1
421,경향성을,1
422,파악,1
423,현실적인,1
424,방법이며,1
425,경우에,1
426,방식으로,1
427,찾는다.<br>-,1
428,이,1
429,아니다,1
430,정답은,1
431,images/20241117_001_007.png,1
432,images/20241117_001_008.png,1
433,고려해야,1
434,할,1
435,번째는,1
436,함수이다,1
437,함수란,1
438,이웃과의,1
439,계산할,1
440,수식,1
441,방법론을,1
442,지칭하는,1
443,말로,1
444,등,1
445,예시에서는,1
446,각각,1
447,그리고,1
448,맨해튼,1
449,거리함수로,1
450,사용했을,1
451,달라지는,1
452,예시이다,1
453,종류는,1
454,아래,1
455,참고한다,1
456,p차,1
457,내적,1
458,정규화,1
