,0,1
0,데이터,27
1,최근접이웃,23
2,K,17
3,분류기의,15
4,가장,12
5,거리,11
6,있다,10
7,/assets,9
8,br>-,9
9,가까운,8
10,학습,8
11,분류,7
12,데이터를,7
13,클래스를,7
14,거리를,6
15,분류기는,6
16,때,5
17,설명,5
18,계산,5
19,새로운,5
20,KNN,5
21,수,5
22,K의,5
23,거리가,4
24,클래스로,4
25,즉,4
26,클래스,4
27,잡음에,4
28,때문에,4
29,데이터가,4
30,베이즈,4
31,중,4
32,높은,4
33,따라,4
34,적절한,4
35,K값을,4
36,개념,3
37,문제를,3
38,주어진,3
39,xnew에,3
40,있을,3
41,가지고,3
42,민감하다는,3
43,과다적합,3
44,정확도,3
45,K개의,3
46,후보,3
47,분포,3
48,성능이,3
49,크게,3
50,좋은,3
51,때마다,3
52,특징이,3
53,두,3
54,값이,3
55,전체적인,3
56,선택되는,3
57,예시,3
58,할당한다,2
59,같이,2
60,방법을,2
61,볼,2
62,것이다,2
63,바로,2
64,수식화,2
65,x의,2
66,처리과정,2
67,단계,2
68,x1,2
69,x2,2
70,xn}과의,2
71,계산한다,2
72,이웃,2
73,식별,2
74,문제점,2
75,문제점을,2
76,민감,2
77,데이터에만,2
78,테스트,2
79,N(x)를,2
80,등장빈도가,2
81,할당하는,2
82,분류기이다,2
83,데이터와,2
84,확인하고,2
85,속한,2
86,각,2
87,식별된,2
88,특징,2
89,비선형적인,2
90,결정경계를,2
91,형태에,2
92,주어질,2
93,있어야,2
94,더,2
95,노이즈에,2
96,가지는,2
97,기반으로,2
98,분류를,2
99,한다는,2
100,하므로,2
101,가지,2
102,경우엔,2
103,평균과,2
104,의존하므로,2
105,혹은,2
106,하는,2
107,방법이,2
108,특성을,2
109,맞는,2
110,고려사항,2
111,값,2
112,경우,2
113,과적합,2
114,클,2
115,확률)에,2
116,특성과,2
117,어떤,2
118,이웃이,2
119,K값에,2
120,너무,2
121,근처의,2
122,문제가,2
123,따라서,2
124,성능을,2
125,여러,2
126,방법,2
127,전체,2
128,없다,2
129,유클리디안,2
130,마할라노비스,2
131,코사인,2
132,노름,2
133,images/20241117_001_001.png,1
134,생각해봤을,1
135,간단한,1
136,방법으로는,1
137,xnew으,1
138,와,1
139,근처에,1
140,동일한,1
141,분류하는,1
142,이것이,1
143,개념이다,1
144,x와,1
145,x1간,1
146,d(x,1
147,x1)`이라고,1
148,했을,1
149,결정짓는,1
150,결정규칙을,1
151,식으로,1
152,표현하면,1
153,아래와,1
154,같다,1
155,images/20241117_001_002.png,1
156,최근접,1
157,xmin을,1
158,식별한다,1
159,x에,1
160,xmin의,1
161,클래스와,1
162,할당하도록,1
163,결정한다,1
164,그것은,1
165,것과,1
166,발생한다는,1
167,점이다,1
168,잡음이란,1
169,일반적이지,1
170,의미한다.<br>-,1
171,하나의,1
172,"데이터""만을",1
173,참고하기,1
174,참고하는,1
175,이상치인,1
176,경우에는,1
177,오분류가,1
178,가능성이,1
179,높다,1
180,또는,1
181,과적합이라고,1
182,부르는,1
183,모델이,1
184,적합하여,1
185,데이터에서,1
186,떨어지는,1
187,말한다.<br>-,1
188,앞서,1
189,살펴본,1
190,문제와,1
191,일정,1
192,비슷한,1
193,면이,1
194,images/20241117_001_003.png,1
195,구분,1
196,K=1,1
197,0.87,1
198,Nearest,1
199,새로,1
200,이와,1
201,순서대로,1
202,선별하여,1
203,데이터집합,1
204,만든,1
205,뒤,1
206,집합에,1
207,포함된,1
208,xnew의,1
209,방법이다,1
210,문제에,1
211,따른,1
212,오분류율이,1
213,보완하고자,1
214,나온,1
215,하나,1
216,만을,1
217,참고했다면,1
218,순으로,1
219,k,1
220,개의,1
221,를,1
222,참고한다는,1
223,점에서,1
224,차이가,1
225,images/20241117_001_004.png,1
226,xnew와,1
227,images/20241117_001_005.png,1
228,순서로,1
229,찾아,1
230,만든다,1
231,N(x)에,1
232,데이터들이,1
233,클래스들을,1
234,br,1
235,각각의,1
236,등장빈도수를,1
237,탐색한다,1
238,단계에서,1
239,빈도수가,1
240,결정,1
241,경계,1
242,분류기에,1
243,좌우되지,1
244,않음,1
245,비선형적,1
246,데이터분포에서,1
247,분류성능을,1
248,보일,1
249,있음,1
250,오래걸림,1
251,때마다(분류,1
252,요청이,1
253,전체와,1
254,시간이,1
255,오래,1
256,"걸리며,<br>-",1
257,저장하고,1
258,하기,1
259,아닌,1
260,"데이터""에",1
261,기반한,1
262,보니,1
263,자체의,1
264,특성값을,1
265,잘,1
266,반영할,1
267,이를,1
268,바꾸어,1
269,말하면,1
270,단점으로도,1
271,분류기보다,1
272,있으며,1
273,들어,1
274,그래프처럼,1
275,데이터들의,1
276,경계가,1
277,비선형적이라면,1
278,분류기보다는,1
279,KNN의,1
280,좋을,1
281,images/20241117_001_006.png,1
282,한계,1
283,분류모델은,1
284,간,1
285,원리를,1
286,여기서,1
287,태생적,1
288,한계점이,1
289,도출되는데,1
290,새로이,1
291,대상,1
292,학습데이터와의,1
293,거리계산을,1
294,수행해야,1
295,문제점이다,1
296,이는,1
297,계산해야,1
298,계산량이,1
299,위해,1
300,소모가,1
301,크다,1
302,.,1
303,라는,1
304,반면,1
305,확률밀도함수를,1
306,진행한다,1
307,표준편차에만,1
308,일단,1
309,파라미터(확률밀도함수)를,1
310,추정하고,1
311,나면,1
312,분류시에,1
313,학습데이터가,1
314,필요하지,1
315,않고,1
316,학습된,1
317,파라미터,1
318,이용해,1
319,가능하다는,1
320,계산량과,1
321,메모리상에,1
322,KNN보다,1
323,장점을,1
324,모델을,1
325,때에는,1
326,해결해야,1
327,문제의,1
328,개발,1
329,파악해서,1
330,분류기를,1
331,선택해야,1
332,안목을,1
333,길러야,1
334,한다,1
335,설계시,1
336,값(몇,1
337,근접이웃)이,1
338,작을,1
339,비율(선험,1
340,의존,1
341,K값으로,1
342,주변의,1
343,모두,1
344,반영하도록,1
345,해야함,1
346,함수,1
347,데이터간,1
348,다양함,1
349,거리계산,1
350,달라짐,1
351,달라지면,1
352,성능에,1
353,직접적인,1
354,영향,1
355,모델의,1
356,성능은,1
357,좌우된다,1
358,적응하는,1
359,발생하고,1
360,분포(=선험,1
361,적응하여,1
362,특성이,1
363,적응되지,1
364,않는,1
365,수도,1
366,데이터에,1
367,도출해내는,1
368,것은,1
369,모델,1
370,구축에,1
371,있어,1
372,굉장히,1
373,중요한,1
374,문제이다,1
375,images/20241117_001_009.png,1
376,k의,1
377,값에,1
378,차이</i,1
379,값을,1
380,찾는,1
381,데에는,1
382,것이지만,1
383,정답이,1
384,특성에,1
385,찾아가는,1
386,아래는,1
387,적정,1
388,찾기,1
389,위한,1
390,대표적인,1
391,가지이다,1
392,K값,1
393,반영,1
394,경향성에,1
395,맞춰,1
396,지정하는,1
397,방식,1
398,수가,1
399,N일,1
400,=,1
401,N의,1
402,제곱근`<br>-,1
403,하나이며,1
404,값은,1
405,뿐만이,1
406,아니라,1
407,특성에도,1
408,정답이라고,1
409,실험적,1
410,검증,1
411,변화를,1
412,줘가면서,1
413,실험적으로,1
414,K에서,1
415,보이는지,1
416,측정하는,1
417,K를,1
418,으로,1
419,성능,1
420,경향성을,1
421,파악,1
422,현실적인,1
423,방법이며,1
424,경우에,1
425,방식으로,1
426,찾는다.<br>-,1
427,이,1
428,아니다,1
429,정답은,1
430,images/20241117_001_007.png,1
431,images/20241117_001_008.png,1
432,고려해야,1
433,할,1
434,번째는,1
435,함수이다,1
436,함수란,1
437,이웃과의,1
438,계산할,1
439,수식,1
440,방법론을,1
441,지칭하는,1
442,말로,1
443,등,1
444,예시에서는,1
445,각각,1
446,그리고,1
447,맨해튼,1
448,거리함수로,1
449,사용했을,1
450,달라지는,1
451,예시이다,1
452,종류는,1
453,아래,1
454,참고한다,1
455,p차,1
456,내적,1
457,정규화,1
