,0,1
0,데이터,35
1,분류기의,15
2,최근접이웃,11
3,거리,11
4,분류,9
5,학습,9
6,###,8
7,수,8
8,K-최근접이웃,8
9,데이터를,7
10,클래스를,7
11,거리를,6
12,분류기는,6
13,때,5
14,K의,5
15,데이터의,4
16,데이터가,4
17,중,4
18,K값을,4
19,거리|,4
20,개념,3
21,문제를,3
22,것은,3
23,정확도,3
24,##,3
25,K개의,3
26,N(,3
27,분포,3
28,성능이,3
29,계산,3
30,특징이,3
31,경우엔,3
32,값이,3
33,거리가,2
34,방법을,2
35,수식화,2
36,x의,2
37,함수,2
38,처리과정,2
39,|순서,2
40,|단계|설명|,2
41,|1|거리,2
42,과의,2
43,이웃,2
44,식별|거리가,2
45,|3|클래스,2
46,문제점을,2
47,과다적합,2
48,후보,2
49,등장빈도가,2
50,분류기가,2
51,개의,2
52,클래스들,2
53,집합,2
54,가우시안,2
55,결정경계를,2
56,메모리,2
57,위,2
58,분류를,2
59,가지,2
60,문제의,2
61,방법이,2
62,특성을,2
63,경우,2
64,확률,2
65,이웃이,2
66,근처의,2
67,문제가,2
68,성능을,2
69,값을,2
70,탐색,2
71,방법,2
72,전체,2
73,예시,2
74,정답은,2
75,유클리디안,2
76,함수가,2
77,노름|,2
78,방법으로는,1
79,근접,1
80,x1간,1
81,결정규칙을,1
82,2|최근접,1
83,xmin을,1
84,xmin의,1
85,문제점,1
86,|문제점|설명|,1
87,경우에는,1
88,오분류가,1
89,가능성이,1
90,모델이,1
91,현실,1
92,세계,1
93,테스트,1
94,분류율이,1
95,일정,1
96,부분,1
97,면이,1
98,|구분,1
99,|베이즈,1
100,분류기|,1
101,|학습,1
102,|테스트,1
103,분류기(,1
104,데이터집합,1
105,뒤,1
106,클래스,1
107,xnew의,1
108,오분류율이,1
109,차이가,1
110,|2|근접,1
111,빈도,1
112,탐색|후보,1
113,데이터들이,1
114,클래스들을,1
115,확인하고<,1
116,각각의,1
117,등장빈도수를,1
118,|4|클래스,1
119,할당,1
120,|3번,1
121,빈도수가,1
122,특징,1
123,|결정,1
124,br,1
125,비선형적,1
126,경계를,1
127,분류성능을,1
128,있음|,1
129,|분류,1
130,시간,1
131,요청이,1
132,필요<,1
133,시간이,1
134,소모|,1
135,결정경계,1
136,확률이,1
137,자체의,1
138,특성값을,1
139,예를,1
140,데이터들의,1
141,경계가,1
142,베이즈,1
143,분류기보다는,1
144,KNN의,1
145,한계,1
146,분류모델은,1
147,간,1
148,원리를,1
149,태생적,1
150,한계점이,1
151,대상,1
152,학습데이터와의,1
153,거리계산을,1
154,계산량이,1
155,2),1
156,계산을,1
157,소모가,1
158,반면,1
159,확률밀도함수를,1
160,확률밀도함수는,1
161,학습시,1
162,파라미터(,1
163,확률밀도함수,1
164,이후부터는,1
165,학습데이터가,1
166,파라미터,1
167,표준편차만을,1
168,분류가,1
169,장점을,1
170,모델을,1
171,때에는,1
172,개발,1
173,환경,1
174,분류기를,1
175,안목을,1
176,분류기,1
177,설계시,1
178,고려사항,1
179,|고려사항|설명|,1
180,값|-,1
181,값(,1
182,근접이웃,1
183,민감,1
184,비율(,1
185,선험,1
186,의존<,1
187,주변의,1
188,해야함|,1
189,|거리,1
190,함수|-,1
191,데이터간,1
192,방법은,1
193,다양함<,1
194,거리계산,1
195,영향|,1
196,값,1
197,모델의,1
198,성능은,1
199,과적합,1
200,분포(,1
201,=선험,1
202,특성이,1
203,모델,1
204,k의,1
205,정확도의,1
206,차이<,1
207,데에는,1
208,정답이,1
209,것이,1
210,아래는,1
211,적정,1
212,|K값,1
213,방법|설명|,1
214,|전체,1
215,반영|-,1
216,수의,1
217,방식<,1
218,수가,1
219,K=N의,1
220,값은,1
221,뿐만이,1
222,|실험적,1
223,검증|-,1
224,변화를,1
225,방법<,1
226,K를,1
227,성능,1
228,경향성을,1
229,번째는,1
230,함수란,1
231,이웃과의,1
232,수식,1
233,방법론을,1
234,마할라노비스,1
235,코사인,1
236,노름,1
237,등,1
238,예시에서는,1
239,함수에는,1
240,종류는,1
241,아래,1
242,표를,1
243,|1|유클리디안,1
244,|2|1차,1
245,|4|내적|,1
246,|6|정규화,1
