,0,1
0,데이터,36
1,---,19
2,거리,19
3,분류기의,15
4,최근접이웃,11
5,K-최근접이웃,11
6,분류,10
7,학습,10
8,수,8
9,데이터를,7
10,클래스를,7
11,거리를,6
12,설명,6
13,분류기는,6
14,때,5
15,계산,5
16,K의,5
17,거리가,4
18,데이터의,4
19,함수,4
20,클래스,4
21,데이터가,4
22,중,4
23,br,4
24,K값을,4
25,유클리디안,4
26,개념,3
27,문제를,3
28,과다적합,3
29,것은,3
30,정확도,3
31,K개의,3
32,후보,3
33,N(,3
34,탐색,3
35,분포,3
36,성능이,3
37,특징이,3
38,경우엔,3
39,값이,3
40,방법,3
41,전체,3
42,노름,3
43,근접,2
44,방법을,2
45,수식화,2
46,x의,2
47,처리과정,2
48,순서,2
49,단계,2
50,이웃,2
51,식별,2
52,할당,2
53,문제점,2
54,문제점을,2
55,민감,2
56,테스트,2
57,베이즈,2
58,분류기,2
59,등장빈도가,2
60,분류기가,2
61,개의,2
62,클래스들,2
63,집합,2
64,특징,2
65,가우시안,2
66,결정경계를,2
67,메모리,2
68,위,2
69,분류를,2
70,가지,2
71,문제의,2
72,방법이,2
73,특성을,2
74,고려사항,2
75,값,2
76,경우,2
77,확률,2
78,이웃이,2
79,근처의,2
80,문제가,2
81,성능을,2
82,값을,2
83,예시,2
84,정답은,2
85,마할라노비스,2
86,코사인,2
87,함수가,2
88,방법으로는,1
89,x1간,1
90,결정규칙을,1
91,최근접,1
92,xmin을,1
93,xmin의,1
94,경우에는,1
95,오분류가,1
96,가능성이,1
97,모델이,1
98,현실,1
99,세계,1
100,분류율이,1
101,일정,1
102,부분,1
103,면이,1
104,구분,1
105,분류기(,1
106,데이터집합,1
107,뒤,1
108,xnew의,1
109,오분류율이,1
110,차이가,1
111,빈도,1
112,데이터들이,1
113,클래스들을,1
114,확인하고<,1
115,각각의,1
116,등장빈도수를,1
117,3번,1
118,빈도수가,1
119,결정,1
120,경계,1
121,비선형적,1
122,경계를,1
123,분류성능을,1
124,시간,1
125,오래걸림,1
126,요청이,1
127,필요<,1
128,>-,1
129,시간이,1
130,소모,1
131,결정경계,1
132,확률이,1
133,자체의,1
134,특성값을,1
135,예를,1
136,데이터들의,1
137,경계가,1
138,분류기보다는,1
139,KNN의,1
140,한계,1
141,분류모델은,1
142,간,1
143,원리를,1
144,태생적,1
145,한계점이,1
146,대상,1
147,학습데이터와의,1
148,거리계산을,1
149,계산량이,1
150,2),1
151,계산을,1
152,소모가,1
153,반면,1
154,확률밀도함수를,1
155,확률밀도함수는,1
156,학습시,1
157,파라미터(,1
158,확률밀도함수,1
159,이후부터는,1
160,학습데이터가,1
161,파라미터,1
162,표준편차만을,1
163,분류가,1
164,장점을,1
165,모델을,1
166,때에는,1
167,개발,1
168,환경,1
169,분류기를,1
170,안목을,1
171,설계시,1
172,값(,1
173,근접이웃,1
174,비율(,1
175,선험,1
176,의존<,1
177,주변의,1
178,데이터간,1
179,방법은,1
180,다양함<,1
181,거리계산,1
182,영향,1
183,모델의,1
184,성능은,1
185,과적합,1
186,분포(,1
187,=선험,1
188,특성이,1
189,모델,1
190,k의,1
191,정확도의,1
192,차이<,1
193,데에는,1
194,정답이,1
195,것이,1
196,아래는,1
197,적정,1
198,K값,1
199,반영,1
200,수의,1
201,방식<,1
202,수가,1
203,K=N의,1
204,값은,1
205,뿐만이,1
206,실험적,1
207,검증,1
208,변화를,1
209,방법<,1
210,K를,1
211,성능,1
212,경향성을,1
213,번째는,1
214,함수란,1
215,이웃과의,1
216,수식,1
217,방법론을,1
218,등,1
219,예시에서는,1
220,함수에는,1
221,종류는,1
222,아래,1
223,표를,1
224,번호,1
225,1차,1
226,내적,1
227,정규화,1
